Name,Created,Tags
1. Introduction,"August 4, 2022 3:40 PM",
2. Project For This Section,"August 4, 2022 4:14 PM",
3. Pengertian CI/CD,"July 21, 2022 2:09 PM",
4. Tools CI/CD,"July 21, 2022 2:10 PM",
5. Jenkins,"July 21, 2022 2:21 PM",
6. Apa itu Webhooks ?,"July 21, 2022 2:35 PM",
7. Setup Webhooks Jenkins,"July 21, 2022 2:36 PM",
8. Deploy On Remote Server,"July 21, 2022 2:40 PM",
9. Jenkins Pipeline,"July 21, 2022 2:46 PM",
10. JenkinsFile,"July 21, 2022 2:50 PM",
11. Membuat Jenkins Pipeline,"July 21, 2022 2:50 PM",
12. Membuat JenkinsFile Sederhana,"July 21, 2022 7:30 PM",
13. Github Action,"July 21, 2022 9:52 PM",
14. Introduction,"August 5, 2022 8:26 PM",
